left
aX;aY;aZ;gX;gY;gZ
105;-254;945;-7.996;-2.686;-4.883
97;-258;949;-5.310;-1.160;-6.409
90;-259;953;-2.014;-366;-5.066
87;-244;946;1.587;-488;-3.052
78;-221;948;4.822;-1.160;-2.197
;;;;;
154;-1.087;756;-433.960;31.128;423.035
141;-842;718;-460.449;87.036;441.528
-157;-630;625;-408.997;120.850;453.491
-6;-541;603;-284.546;131.653;433.472
113;-343;735;-107.300;108.704;373.230
-124;-82;943;66.833;50.781;321.533
-65;219;1.053;187.744;-7.080;298.340
156;541;1.190;235.779;-33.630;271.790
155;762;1.180;218.811;-35.217;226.562
-79;832;1.270;153.748;-40.039;187.134
-36;736;1.227;55.725;-4.761;159.302
-43;617;1.032;-36.926;25.269;133.850
-26;447;900;-78.003;39.246;106.689
-48;279;780;-68.298;28.442;89.539
-32;130;696;-42.847;16.846;83.862
13;231;649;-18.616;18.188;73.181
-30;309;639;7.690;17.151;60.852
-89;365;644;28.076;9.827;45.837
-75;376;666;33.508;-1.953;28.564
12;346;740;24.292;-13.733;15.015
68;310;808;8.728;-28.687;4.150
87;260;868;-5.310;-38.330;-3.479
115;226;912;-13.611;-37.720;-12.817
122;195;968;-13.428;-31.738;-24.353
90;143;996;-5.920;-25.024;-34.363
89;123;1.039;3.662;-19.348;-42.358
72;57;1.091;11.047;-17.944;-48.645
50;166;1.108;16.357;-12.146;-63.110
43;185;994;24.658;-8.667;-78.430
43;183;976;33.752;854;-97.046
38;187;877;41.931;13.733;-124.268
105;206;918;48.828;26.978;-151.917
97;212;869;53.284;22.583;-171.631
74;226;880;51.025;12.146;-185.181
41;274;913;45.654;4.883;-199.219
74;235;989;48.584;-122;-216.309
93;152;1.055;55.908;-977;-240.417
97;141;1.152;53.345;2.136;-270.203
132;107;1.188;36.499;9.888;-291.504
161;38;1.151;12.146;21.057;-302.856
131;-6;1.024;-7.751;33.081;-307.312
98;-85;846;-15.198;44.495;-303.101
16;-293;710;-5.066;54.932;-300.537
-87;-490;736;23.132;58.899;-301.819
-93;-540;856;58.105;49.683;-291.077
-35;-492;926;87.280;34.424;-257.629
25;-477;971;103.821;18.982;-200.623
73;-442;1.006;100.952;4.395;-139.648
65;-420;942;78.064;-6.165;-95.642
115;-385;904;44.373;-7.141;-70.984
168;-336;914;21.423;-2.502;-62.317
154;-298;933;12.634;-2.380;-60.181
136;-325;959;11.047;-4.395;-53.650
129;-370;984;5.676;-5.432;-42.236
154;-359;959;-7.874;-7.507;-28.137
173;-364;929;-19.714;-7.812;-9.949
156;-384;925;-23.804;-5.615;5.249
90;-377;847;-18.555;-3.723;13.123
129;-448;874;-7.507;3.357;12.695
186;-372;895;3.357;2.441;-2.625
83;-277;860;16.418;-12.085;-16.174
46;-333;953;32.593;-17.639;-14.465
34;-272;939;42.053;-28.931;-12.390
61;-231;966;44.922;-34.607;-5.066
57;-296;956;39.185;-35.767;9.888
134;-275;1.018;25.330;-25.940;17.639
146;-293;991;11.536;-22.705;23.865
115;-320;978;-977;-18.311;28.870
119;-297;993;-11.230;-8.240;27.344
106;-279;945;-16.052;-2.869;26.062
83;-294;930;-16.968;2.441;26.978
85;-286;910;-15.320;7.690;26.550
110;-267;889;-12.939;8.179;25.024
125;-262;886;-8.606;6.165;24.170
98;-244;835;-2.258;3.174;21.973
150;-240;936;6.653;2.625;15.869
125;-215;889;15.259;-5.066;7.446
116;-199;926;19.226;-7.996;427
113;-205;945;19.165;-8.911;-3.174
113;-222;958;13.916;-9.766;-5.310
121;-231;959;5.859;-10.193;-8.362
123;-237;950;-1.587;-11.353;-8.789
108;-256;940;-7.141;-10.742;-5.371
107;-278;954;-11.047;-7.263;-427
119;-287;952;-13.000;-4.639;5.981
129;-292;939;-10.925;-3.113;11.658
141;-287;934;-7.263;-854;14.648
145;-279;934;-4.272;1.343;14.587
128;-255;923;-2.319;2.014;12.085
104;-231;931;-671;183;10.071
104;-206;935;916;-3.052;10.071
111;-190;924;1.953;-8.423;9.521
112;-194;914;671;-13.367;5.676
105;-210;923;-2.502;-16.479;305
93;-212;921;-5.798;-17.761;-3.113
87;-211;928;-7.996;-16.846;-3.967
99;-228;946;-8.972;-15.076;-4.517
115;-253;937;-8.057;-14.526;-6.714
120;-276;946;-3.662;-14.160;-10.315
129;-285;974;3.662;-13.062;-13.611
126;-279;985;11.169;-12.634;-15.198
131;-282;979;16.907;-10.864;-14.893
135;-290;992;20.813;-8.057;-13.123
111;-293;969;20.874;-6.348;-12.878
76;-272;967;17.639;-3.906;-12.390
61;-262;949;14.160;-1.648;-10.437
53;-250;934;9.827;-305;-7.263
43;-246;918;5.005;732;-4.822
56;-242;903;-854;916;-3.357
61;-253;896;-5.310;-122;-3.906
66;-265;898;-6.531;-2.930;-5.676
83;-288;916;-4.883;-6.714;-7.141
111;-317;933;-2.258;-9.338;-6.897
138;-326;947;-1.221;-11.047;-6.287
147;-330;952;977;-11.230;-5.920
135;-319;947;4.639;-10.742;-7.019
109;-301;937;7.935;-9.216;-8.484
82;-288;924;9.766;-7.324;-8.911
61;-266;920;8.545;-5.554;-6.958
;;;;;
237;-1.164;1.115;-353.027;-63.171;430.847
75;-1.109;459;-428.589;-19.287;452.026
-83;-539;279;-398.193;61.462;413.879
-336;-81;249;-232.788;113.892;345.337
-438;35;95;6.531;86.487;287.537
