aX,aY,aZ,gX,gY,gZ
0.017,0.241,1.429,-30.945,-241.394,38.086
0.044,0.268,1.697,-9.399,-218.567,22.278
0.030,0.216,1.895,14.709,-181.458,1.526
-0.006,0.086,2.031,34.058,-127.197,-15.442
-0.098,-0.022,2.015,37.354,-57.556,-25.024
-0.316,-0.115,1.899,23.499,15.503,-23.132
-0.425,-0.157,1.677,-2.747,76.416,-11.414
-0.300,-0.108,1.419,-30.212,110.840,-3.052
-0.246,-0.054,1.162,-44.556,118.164,-5.005
-0.156,-0.050,0.991,-39.246,108.887,-8.911
-0.055,-0.076,0.875,-29.297,89.844,-9.460
0.010,-0.089,0.805,-25.574,67.139,-8.850
0.066,-0.106,0.774,-26.978,46.204,-8.667
0.126,-0.133,0.771,-28.870,28.320,-7.935
0.167,-0.140,0.783,-26.123,15.015,-7.263
0.179,-0.143,0.792,-15.869,7.690,-5.005
0.165,-0.144,0.799,-1.099,3.601,-1.709
0.156,-0.146,0.812,14.526,1.465,3.113
0.135,-0.136,0.841,26.245,2.441,6.348
0.115,-0.118,0.881,31.738,4.333,8.118
0.092,-0.103,0.931,28.809,7.202,8.850
0.020,-0.068,0.935,15.564,10.498,10.254
0.012,-0.022,0.935,-2.441,14.099,11.169
0.039,0.023,0.954,-16.724,12.878,9.277
0.057,0.028,0.986,-22.217,5.066,7.019
0.071,0.029,1.018,-20.996,-3.784,4.211
0.071,0.029,1.048,-15.381,-7.935,0.732
0.081,0.022,1.063,-8.850,-6.775,-0.549
0.082,0.017,1.047,-2.991,-3.723,-0.732
0.093,0.026,1.023,3.296,0.488,-0.610
0.090,0.040,0.996,11.292,3.784,-0.488
0.089,0.039,0.966,17.883,5.310,-1.282
0.073,0.039,0.953,19.958,6.592,-2.686
0.071,0.032,0.917,16.052,7.080,-3.784
0.071,0.009,0.899,9.155,7.385,-4.944
0.067,-0.004,0.892,0.305,7.568,-6.287
0.081,-0.016,0.902,-8.179,6.775,-7.324
0.067,-0.041,0.912,-12.207,4.639,-9.033
0.064,-0.068,0.920,-11.108,1.831,-9.338
0.071,-0.093,0.935,-8.057,-0.488,-7.751
0.073,-0.078,0.942,-6.897,-0.916,-5.737
0.077,-0.063,0.924,-4.944,-0.183,-4.822
0.089,-0.058,0.904,-0.366,-0.366,-4.822
0.086,-0.052,0.896,4.456,-2.075,-5.493
0.080,-0.060,0.895,8.301,-3.845,-5.615
0.083,-0.073,0.908,11.353,-5.493,-5.554
0.078,-0.080,0.928,13.000,-6.836,-4.517
0.076,-0.093,0.943,14.343,-7.080,-3.479
0.071,-0.102,0.964,14.343,-7.202,-2.686
0.066,-0.101,0.985,10.742,-6.226,-1.282
0.077,-0.092,0.986,3.784,-4.333,0.427
0.083,-0.072,0.979,-3.967,-2.319,0.427
0.085,-0.058,0.971,-10.315,-1.160,0.122
0.100,-0.042,0.962,-13.794,-1.099,-0.793
0.091,-0.030,0.948,-14.404,-2.014,-1.892
